strategy,display_name,slice_type,slice_value,runs,total,mean_accuracy,std_accuracy,accuracy_ci_low,accuracy_ci_high,mean_avg_cost,std_avg_cost,avg_cost_ci_low,avg_cost_ci_high,mean_avg_latency_ms,std_avg_latency_ms,avg_latency_ms_ci_low,avg_latency_ms_ci_high,mean_strong_usage_rate,std_strong_usage_rate,strong_usage_rate_ci_low,strong_usage_rate_ci_high,mean_total_strong_calls,mean_total_cheap_calls
random_reflection_rate,Random@Reflection Rate,dataset,bfcl_multiple,100,140,0.8,0.0,0.8,0.8,0.0020579565,8.75529e-05,0.0018713116,0.0022007869,2120.2042,79.5934737423,1960.16975,2262.08475,0.6749285715,0.0411132706,0.5962499985,0.74285714,94.49,140.0
random_reflection_rate,Random@Reflection Rate,dataset,bfcl_simple,100,120,0.8022499991,0.0036996607,0.8,0.80833333,0.00103089,4.1542e-05,0.0009547508,0.001110784,2157.856,99.1934665691,1966.671,2326.79925,0.6697500001,0.0390095253,0.6,0.74166667,80.37,120.0
random_reflection_rate,Random@Reflection Rate,dataset,chartqa,100,55,0.8449090913,0.0203205692,0.81818182,0.89090909,0.0008712387,5.32968e-05,0.0007699856,0.0009656227,1964.26,117.627873882,1737.3855,2172.17275,0.669818182,0.0595698078,0.5540909097,0.7731818155,36.84,55.0
random_reflection_rate,Random@Reflection Rate,dataset,commonsenseqa,100,75,0.8567999995,0.0104341336,0.84,0.88,0.0003461853,1.64259e-05,0.0003162033,0.0003768997,1460.385,81.5533911312,1287.889,1619.514,0.6717333334,0.0463716387,0.58666667,0.76,50.38,75.0
random_reflection_rate,Random@Reflection Rate,dataset,gsm8k,100,105,0.4407619068,0.0227010555,0.39047619,0.4811904802,0.0003889629,1.70771e-05,0.0003543113,0.0004196028,1461.7776,67.4363561311,1331.798,1592.00325,0.6662857153,0.0422908613,0.5854761898,0.74285714,69.96,105.0
random_reflection_rate,Random@Reflection Rate,dataset,mmmu,100,65,0.5352307678,0.0192516805,0.49230769,0.56923077,0.0009091502,5.61468e-05,0.0008076958,0.0010017012,1850.1,80.0174984613,1699.05975,1980.4985,0.6778461542,0.0531524544,0.5765384598,0.76923077,44.06,65.0
random_reflection_rate,Random@Reflection Rate,dataset,ocr_vqa,100,55,0.6,0.0,0.6,0.6,0.0005827684,3.55418e-05,0.0005104254,0.0006397314,1862.8109,120.7258876223,1626.08575,2048.53575,0.688545455,0.0620133286,0.56363636,0.78181818,37.87,55.0
random_reflection_rate,Random@Reflection Rate,dataset,scienceqa,100,95,0.9541052637,0.0125894024,0.92631579,0.973947368,0.0006045764,2.83806e-05,0.0005502613,0.000648186,1959.872,99.9080158446,1745.42725,2125.3085,0.6774736845,0.0457021556,0.594473682,0.74736842,64.36,95.0
random_reflection_rate,Random@Reflection Rate,difficulty_group,hard,100,200,0.5191,0.0095493455,0.5,0.537625,0.0011187994,4.0225e-05,0.0010402918,0.0011916653,1930.5416,51.6840093979,1829.66475,2030.5465,0.6723,0.0250740902,0.62,0.722625,134.46,200.0
random_reflection_rate,Random@Reflection Rate,difficulty_group,standard,100,600,0.7695499998,0.0049264311,0.75833333,0.77833333,0.0008167174,1.22915e-05,0.0007937999,0.0008435892,1799.5192,23.2481356964,1754.68775,1847.2925,0.6742333334,0.0083580305,0.6574583335,0.69166667,404.54,600.0
random_reflection_rate,Random@Reflection Rate,task_family,text,100,270,0.5643703702,0.0101400339,0.5387962975,0.58148148,0.0003906286,9.5208e-06,0.0003728387,0.0004077876,1455.9818,37.4467075023,1386.31,1530.41725,0.6704074077,0.0228821456,0.6276851875,0.71481481,181.01,270.0
random_reflection_rate,Random@Reflection Rate,task_family,tool,100,260,0.8010384605,0.0017075347,0.8,0.80384615,0.0015839258,4.52688e-05,0.0014858967,0.0016663374,2137.5822,54.0454331758,2009.90625,2226.42075,0.6725384622,0.0238772751,0.6172115412,0.7174038487,174.86,260.0
random_reflection_rate,Random@Reflection Rate,task_family,vision,100,270,0.7588888894,0.0075993642,0.74444444,0.77407407,0.0007277775,2.04992e-05,0.0006885941,0.0007613557,1914.5677,51.9471949167,1817.69,1999.36575,0.6782592595,0.0240293317,0.6350925923,0.7167592578,183.13,270.0
