strategy,display_name,slice_type,slice_value,total,accuracy,total_cost,avg_cost,total_latency_ms,avg_latency_ms,strong_usage_rate,total_strong_calls,total_cheap_calls,prompt_tokens,completion_tokens,accuracy_ci_low,accuracy_ci_high,random_accuracy_std
task_aware,Frozen Task-Aware,dataset,mmmu,65,0.50769231,0.0395476,0.0006084246,76352.93,1174.66,0.64615385,42,23,38531,1153,0.384615,0.630769,
task_aware,Frozen Task-Aware,dataset,ocr_vqa,55,0.63636364,0.027738,0.0005043273,67759.56,1231.99,1.0,55,0,15531,1264,0.509091,0.763636,
task_aware,Frozen Task-Aware,dataset,scienceqa,95,0.97894737,0.0370024,0.0003894989,94318.99,992.83,0.62105263,59,36,32666,1631,0.947368,1.0,
random_learned_rate,Random@Learned Rate,dataset,bbh,90,0.4864444458,,0.0003567332,,1148.3583,0.9580000012,86.22,3.78,,,0.46666667,0.5,0.0089690818
random_learned_rate,Random@Learned Rate,dataset,bfcl_multiple,140,0.8272142866,,0.0018460763,,1542.616,0.9588571426,134.24,5.76,,,0.82142857,0.82857143,0.0029786668
random_learned_rate,Random@Learned Rate,dataset,bfcl_simple,120,0.8482500006,,0.0008829728,,1479.3013,0.9609166662,115.31,4.69,,,0.84166667,0.85833333,0.0046090174
random_learned_rate,Random@Learned Rate,dataset,chartqa,55,0.8194545472,,0.0007701287,,1276.8684,0.9578181819,52.68,2.32,,,0.8,0.83636364,0.0097081378
random_learned_rate,Random@Learned Rate,dataset,commonsenseqa,75,0.8789333336,,0.0002788031,,1115.9536,0.9559999997,71.7,3.3,,,0.86666667,0.89333333,0.0055553764
random_learned_rate,Random@Learned Rate,dataset,gsm8k,105,0.4603809554,,0.0003169106,,1144.9172,0.9569523788,100.48,4.52,,,0.43809524,0.48571429,0.0119119984
random_learned_rate,Random@Learned Rate,dataset,mmmu,65,0.4898461534,,0.0008152523,,1354.9124,0.9559999986,62.14,2.86,,,0.4688461545,0.50769231,0.0108174736
random_learned_rate,Random@Learned Rate,dataset,ocr_vqa,55,0.6341818216,,0.0004922778,,1213.4591,0.9621818179,52.92,2.08,,,0.61818182,0.63636364,0.0059083922
random_learned_rate,Random@Learned Rate,dataset,scienceqa,95,0.9761052633,,0.0005223394,,1149.9506,0.9611578948,91.31,3.69,,,0.96842105,0.98947368,0.0057375674
random_reflection_rate,Random@Reflection Rate,dataset,bbh,90,0.4648888905,,0.000429608,,1445.5511,0.6741111107,60.67,90.0,,,0.4274999972,0.48888889,0.0167567945
random_reflection_rate,Random@Reflection Rate,dataset,bfcl_multiple,140,0.8,,0.0020579565,,2120.2042,0.6749285715,94.49,140.0,,,0.8,0.8,0.0
random_reflection_rate,Random@Reflection Rate,dataset,bfcl_simple,120,0.8022499991,,0.00103089,,2157.856,0.6697500001,80.37,120.0,,,0.8,0.80833333,0.0036996607
random_reflection_rate,Random@Reflection Rate,dataset,chartqa,55,0.8449090913,,0.0008712387,,1964.26,0.669818182,36.84,55.0,,,0.81818182,0.89090909,0.0203205692
random_reflection_rate,Random@Reflection Rate,dataset,commonsenseqa,75,0.8567999995,,0.0003461853,,1460.385,0.6717333334,50.38,75.0,,,0.84,0.88,0.0104341336
random_reflection_rate,Random@Reflection Rate,dataset,gsm8k,105,0.4407619068,,0.0003889629,,1461.7776,0.6662857153,69.96,105.0,,,0.39047619,0.4811904802,0.0227010555
random_reflection_rate,Random@Reflection Rate,dataset,mmmu,65,0.5352307678,,0.0009091502,,1850.1,0.6778461542,44.06,65.0,,,0.49230769,0.56923077,0.0192516805
random_reflection_rate,Random@Reflection Rate,dataset,ocr_vqa,55,0.6,,0.0005827684,,1862.8109,0.688545455,37.87,55.0,,,0.6,0.6,0.0
random_reflection_rate,Random@Reflection Rate,dataset,scienceqa,95,0.9541052637,,0.0006045764,,1959.872,0.6774736845,64.36,95.0,,,0.92631579,0.973947368,0.0125894024
